Partner University,PU Course Code,PU Course Title,NUS Course Code
University of Leeds,GEOG 2085,"Ecosystems: Process, Pattern, and Change",LSM3272
University of Leeds,GEOG 1055,Environmental Change: Past and Future,LSM3272
University of Liverpool,SOCI 252,"Drugs, Crime and Society",GEH1026
University of Liverpool,SOCI 339,"Drugs, Crime and Society",GEH1026
University of Liverpool,AERO 212,AIRCRAFT PERFORMANCE,SX2995
University of Maryland,BSCI 370,Principles of Evolution,LSM3252
University of Maryland,ENST 360,Ecosystem Ecology,LSM3272
University of Maryland,BSCI 437,General Virology,LSM3991
University of Miami,BIL 376,Complementary and Integrative Medicine,LSM3991
University of Miami,BMB 506,Biomedical Case Studies,LSM4210
Colgate University,PSYC 150A,Introduction to Psychological Science,LSM3994
University of Newcastle,ENVS 2320,EXPERIMENTAL DESIGN AND ANALYSIS IN ECOLOGY,LSM3257
University of Newcastle,ENVS 3005,Animal Behaviour,LSM3267
University of Newcastle,ENVS 2008,The Sustainable Society,LSM3272
University of Newcastle,MARI 3500,Sustainable Fisheries and Aquaculture,LSM3991
University of Newcastle,BIOL 3020,"animal physiology, reproduction and development",LSM4252
University of Newcastle,MARI 3300,Integrated Coastal Ecosystems,LSM4261
University of Newcastle,MARI 2300,Marine Biology,LSM4261
University of Newcastle,ENVS 3003,Conservation Biology,LSM4262
University of Newcastle,ENVS 2006,Ecology and management of wildlife,LSM4262
University of Notre Dame,MATH 20630,Introduction to Mathematical Reasoning,MA1100
Colgate University,BIOL 340,Marine Biology,LSM4261
University of Notre Dame,MATH 30710,Algebra,MA2202
University of Notre Dame,MATH 20750,Ordinary Differential Equations,MA3220
University of Notre Dame,MATH 30210,Introduction to Operations Research,MA3252
University of Notre Dame,ACMS 40760,Introduction to Stochastic Modeling,ST3236
University of Notre Dame,ACMS 40875,Statistical Methods in Data Mining and Prediction,ST4240
University of Notre Dame,ACMS 40842,Time Series Analysis,ST4253
University of Notre Dame,ACMS 40740,Mathematical and Computational Modeling in Neuroscience,ST4991
University of Oslo,STK 4051,Computational Statistics,DSA4211
University of Oslo,STK 2100,Machine Learning and Statistical Methods for Prediction and Classification,DSA4211
University of Oslo,BIOS 3250,Fungal Biology,LSM3259
Colgate University,PHYS 432,Electromagnetism,PC3231
Amsterdam University College,SCIY 900255,"Genes, Bioinformatics and Disease",LSM2241
University of Oslo,BIOS 2000,Animal Behaviour,LSM3267
University of Oslo,BIOS 3610,Molecular Plant Science,LSM3992
University of Oslo,BIOS 3300,Marine Biology,LSM4261
University of Oslo,STK 2130,Modelling by Stochastic Processes,MA3238
University of Oslo,MAT 3100,Linear Optimization,MA3252
University of Oslo,MAT 4770,Stochastic Modelling in Energy and Commodity Markets,MA4251
University of Oslo,MAT 4120,Mathematical Optimization,MA4254
University of Oslo,MAT 4750,Mathematical Finance: Modelling and Risk Management,MA4260
University of Oslo,STK-MAT 3700,Introduction to Mathematical Finance and Investment Theory,QF2104
University of Oslo,UV 9217,Regression Analysis,ST3131
Colgate University,PHYS 453A,Solid State Physics,PC3235
University of Oslo,STK 4900,Statistical Methods and Applications,ST3131
University of Oslo,STK-IN 4300,Statistical Learning Methods in Data Science,ST3248
University of Oslo,STK 3100,Introduction to Generalized Linear Models,ST4233
University of Oslo,STK 4021,Applied Bayesian Analysis,ST4234
University of Oslo,IN 3310,Deep Learning for Image Analysis,ST4248
University of Oslo,ECON 4165,Applied time series analysis: econometrics and machine learning,ST4253
University of Otago,MARI 322,Coastal and Shelf Seas Oceanography,ENV3991
University of Otago,GEOG 397,Environmental Management: Policy and Practice,ENV3991
University of Otago,ENVI 312,Interdisciplinary Aspects of Climate Change,ENV3991
University of Pennsylvania,MATH 3200,Computer Methods in Mathematical Science I,DSA2102
Colgate University,PHYS 301,Fluid Mechanics,PC3238
University of Pennsylvania,MATH 1410,"Calculus, Part II",MA2104
University of Pennsylvania,MATH 1400,"Calculus, Part I",MA2311
University of Pennsylvania,STAT 4320,Mathematical Statistics,ST2132
University of Pennsylvania,STAT 4750,Sample Survey Design,ST3239
University of Pennsylvania,STAT 4220,Predictive Analytics for Business,ST3248
University of Pennsylvania,STAT 4770,Introduction to Python for Data Science,SX2994
University of St Andrews,CH 5613,Reactive Intermediates,CM3222
University of St Andrews,CH 3613,Carbohydrate and Nucleic Acid Chemistry,CM3225
University of St Andrews,CH 3513,Chemistry of Materials,CM3253
University of St Andrews,CH 4615,"Fragrance, Food and Colour Chemistry",CM3991
Colgate University,PHYS 456,Relativity and Cosmology,PC4248
University of St Andrews,CH 5614,Chemical Biology,CM4227
University of St Andrews,CH 3715,Introduction to Analysis of Materials,CM4251
University of Toronto,BIO 120H1,Adaptation and Biodiversity,LSM2107
University of Toronto,FOR 201H1,Conservation of Tropical and Subtropical Forests,LSM2991
University of Toronto,CSB 328H1,Animal Developmental Biology,LSM3233
University of Toronto,CSB 472H1,Computational Genomics and Bioinformatics,LSM3241
University of Toronto,HMB 301H1 F,Biotechnology,LSM3244
University of Toronto,ENV 200H1,Assessing Blobal Change: Science and the Environment,LSM3272
University of Toronto,ESS 205H1,Confronting Global Change,LSM3272
University of Toronto,ESS 205H1 F,Confronting Global Change,LSM3272
Colgate University,MATH 354Z,Data Analysis I - Generalized Linear Models,ST3131
University of Toronto,HMB 306H1,Ethical Considerations in Emerging Technology,LSM3991
University of Toronto,HMB 300H1,Neurobiology of Behaviour,LSM3991
University of Toronto,CSB 329H1,Stem Cell Biology: Developmental Models and Cell-based Therapeutics,LSM3991
University of Toronto,MAT 334H1S,Complex Variables,MA3211
University of Toronto,PHY 365H1S,Quantum Information,PC3991
University of Toronto,PHY 452H1S,Statistical Mechanics,PC4241
University of Toronto,PHY 484H1S,Relativity Theory II,PC4991
University of Toronto,PHY 491H1S,Current Interpretations of Quantum Mechanics,PC4992
University of Toronto,PHC 331H1,Establishing the Bioequivalence of Pharmaceutical Products,PHS4991
University of Toronto,PCL 218H1,Cannabis the Drug,PHS4992
Colgate University,SPAN 121,Elementary Spanish I,SX2996
University of Victoria,BIOL 150B,Modern Biology,LSM1301
University of Victoria,BIOC 401,Gene Expression in Eukaryotes,LSM3991
University of Victoria,CHEM 437,Biological and Medicinal Chemistry,PHS3991
University of Victoria,BIOL 447,Ion Channels and Disease,PHS4991
University of Victoria,STAT 261,Introduction to Probability and Statistics II,ST2132
University of Victoria,STAT 350,Mathematical Statistics I,ST2132
University of Victoria,STAT 252,Statistics for Business,ST2132
University of Victoria,STAT 353,Applied Regression Analysis,ST3131
University of Virginia,MATH 4040,Discrete Mathematics,MA1100
University of Virginia,MATH 4651,Advanced Linear Algebra,MA2101
Colgate University,GEOG 245,Geographic Information Systems,SX2996
University of Virginia,APMA 3110,Applied Statistics and Probability,ST2334
University of Virginia,STAT 3220,Introduction to Regression Analysis,ST3131
University of Virginia,STAT 3130,Design and Analysis of Sample Surveys,ST3239
University of Washington,MATH 408,Nonlinear Optimization,DSA3102
University of Washington,MATH 515,Optimization: Fundamentals And Applications,DSA3102
University of Washington,CSE 447,Natural Language Processing,DSA4213
University of Washington,STAT 570,Advanced Regression Methods For Independent Data,ST3131
University of Washington,STAT 421,Applied Statistics And Experimental Design,ST3232
University of Washington,STAT 516,Stochastic Modeling Of Scientific Data,ST3236
University of Washington,ENV H 111,Exploring Environment And Health Connections,SX1991
Concordia University,STAT 380,Statistical Learning,DSA4211
University of Waterloo,CHEM 363,Organic Process Chemistry,CM3201
University of Waterloo,CHEM 233,Fundamentals of Biochemistry,CM3225
University of Waterloo,CHEM 404,Physicochemical Aspects of Natural Waters,CM3991
University of Waterloo,CO 367,Nonlinear Optimization,DSA3102
University of Waterloo,BIOL 225,Plants and Civilization,ENV2991
University of Waterloo,ENVS 205,Sustainability: The Future We Want,ENV2991
University of Waterloo,ERS 335,Restoration Ecology,ENV3991
University of Waterloo,BIOL 150,Organismal and Evolutionary Ecology,LSM2107
University of Waterloo,BIOL 331,Analytical Genomics,LSM3241
University of Waterloo,BIOL 280,introduction to biophysics,LSM3243
Concordia University,STAT 468,Design of Experiments,ST3232
University of Waterloo,BIOL 350,Evolution and Human Affairs,LSM3252
University of Waterloo,MATH 135,Algebra for Honours Mathematics,MA1100
University of Waterloo,MA 235,Linear Algebra 2 (Honours),MA2101
University of Waterloo,MATH 128,Calculus 2 for the sciences,MA2311
University of Waterloo,AMATH 351,Ordinary Differential Equations,MA3220
University of Waterloo,CO 250,Introduction to Optimization,MA3252
University of Waterloo,PHYS 263,Classical Mechanics and Special Relativity,PC2032
University of Waterloo,PHYS 233,Introduction to Quantum Mechanics,PC2130
University of Waterloo,STAT 372,Mathematical Statistics,ST2132
University of Waterloo,STAT 330,Mathematical Statistics,ST2132
Concordia University,STAT 461,Statistical Simulation,ST3247
University of Waterloo,STAT 231,Statistics,ST2132
University of Waterloo,STAT 331,Applied Linear Models,ST3131
University of Waterloo,STAT 333,Applied Regression Analysis,ST3131
University of Waterloo,STAT 430,Experimental Design,ST3232
University of Waterloo,STAT 332,Sampling and Experimental Design,ST3232
University of Waterloo,STAT 341,Computational Statistics & Data Analysis,ST3247
University of Waterloo,STAT 340,Stochastic Simulation Methods,ST3247
University of Waterloo,STAT 441,Statistical Learning - Classification,ST3248
University of Waterloo,STAT 440,Computational Inference,ST4231
University of Waterloo,STAT 443,Forecasting,ST4253
Concordia University,STAT 460,Time Series and Forecasting,ST4253
Amsterdam University College,SCIY 900225,Vector Calculus,MA2104
University of Waterloo,STAT 373,Regression and Forecasting Methods in Finance,ST4253
University of Waterloo,FINE 130,Introduction to Digital Imaging,SX1991
University of York,BIO 00062I,Behavioural Ecology,LSM3267
University of York,BIO 00060I,Bioenterprise,LSM3991
University of York,BIO 77H,Mechanisms to Therapies,LSM3991
University of York,CHE 00036I,Chemical and Structural Biology,LSM4231
University of York,BIO 00036I,Practical Ecology,LSM4263
University of Zurich,BIO 416,Microscopy,LSM3234
University of Zurich,BIO 257,DNA metabolism and cancer,LSM3991
University of Zurich,BIO 219,"Evolution of the Human Brain, Cognition, and Language",LSM3992
Cornell University,FSDC 4210,Food Engineering Principles,FST3103
University of Zurich,BIO 615,"Virology: Principles of Molecular Biology, Pathogenesis, and Control of Human Viruses",LSM3993
University of Zurich,BIO 438,Methods in Human Bioarchaeology,LSM3994
Uppsala University,1TD 184,Optimisation,DSA3102
Uppsala University,1PA 046,The Life and Times of the Dinosaurs,LSM2992
Uppsala University,1FA 207,Celestial Mechanics,PC2032
Uppsala University,1GE 017,Applied and Environmental Geophysics,PC2991
Uppsala University,1GE 07,Applied and Environmental Geophysics,PC2991
Uppsala University,1FA 204,Astrophysics I,PC3412
Utrecht University,B B3BCG20,Bioinformatics for comparative genomics,LSM3241
Utrecht University,B B3FOFO16,Food forward: innovations that will feed the world,LSM3991
Cornell University,FDSC 4100,Sensory Evaluation of Food,FST3107
Utrecht University,B B3GESB05,History and philosophy of biology,LSM3991
Utrecht University,BETA B3LH,Living Pasts Exploring Futures: Augmenting Urban Landscapes and Ecology in the Digital Age,LSM3991
Utrecht University,B B3MECO15,Microbial ecology,LSM3991
Utrecht University,B B3PDE18,Plant development and environment,LSM4251
Utrecht University,MBLS 205,Biochemical Pharmaceutics,PHS2102
Victoria Uni of Wellington,GEOG 217,Human Geography: Approaching Our World,ENV2991
Victoria Uni of Wellington,BIOL 219,New Zealand Flora and Fauna,ENV2991
Victoria Uni of Wellington,BIOL 227,Plants and Algae: Function and Diversity,ENV2991
Victoria Uni of Wellington,BIOL 328,Behaviour and Conservation Ecology,ENV3991
Victoria Uni of Wellington,GEOG 322,"Islands and Oceans: People, Power and Place",ENV3991
Cornell University,FDSC 4230,Food Processing A: Unit Operations and Food Packaging,FST3110
Victoria Uni of Wellington,BIOL 114,Biology of Animals,LSM1991
Victoria Uni of Wellington,BIOL 228,Animal Diversity,LSM2252
Victoria Uni of Wellington,BIOL 372,Applied Marine Biology,LSM3254
Victoria Uni of Wellington,BIOL 370,FIELD MARINE ECOLOGY,LSM3254
Victoria Uni of Wellington,BIO 271,Introductory Marine Biology,LSM3254
Victoria Uni of Wellington,BIOL 271,Introductory Marine Ecology,LSM3254
Victoria Uni of Wellington,STAT 292,Applied Statistics 2A,LSM3257
Victoria Uni of Wellington,BIOL 325,Global Change Biology: The Ecology of Our Planet Under Stress,LSM3272
Victoria Uni of Wellington,BIOL 314,Molecular Biology of Cancer,LSM3991
Victoria Uni of Wellington,BIOL 371,Principles of Neurobiology 1,LSM3991
Cornell University,FDSC 2100,Food Analysis,FST3111
Victoria Uni of Wellington,BIOL 373,Tropical Field Marine Ecology,LSM4261
Victoria Uni of Wellington,BIOL 420,Conservation Ecology,LSM4262
Waseda University,MATH MATX11ZL,Linear Algebra B [E] 02,MA2001
Waseda University,MATH MATX13ZL,Calculus A (2),MA2002
Waseda University,PHYSICS PHYB33ZL,Statistical Mechanics,PC2135
Waseda University,PHYSICS PHYB23ZL,Thermal Mechanics,PC2135
Waseda University,PHYSICS PHYB34ZL,Quantum Mechanics B,PC3130
Waseda University,PHYSICS PHYP21ZL,Advanced Electromagnetism,PC3231
Waseda University,PHYSICS ELCX32ZL,Physics of Semiconductor Devices 1,PC3235
Waseda University,PHYSICS PHYP27ZL,Solid State Physics A,PC3235
Cornell University,FDSC 3960,Food Safety Assurance,FST3112
Waseda University,PHYSICS PHYP37ZL,Solid State Physics B,PC3235
Waseda University,PHYSICS PHYP22ZL,Introduction to Computational Physics,PC3236
Waseda University,SCIENCE NANX60ZL,Introduction to Molecular Nano-engineering,PC3242
Waseda University,PHYSICS 28MA012004,Intermediate Mechanics,PC3261
Waseda University,PHYSICS PHYP38ZL,Biological Physics,PC3267
Waseda University,PHYSICS PHYB25ZL,Mathematical Methods for Physics B,PC3274A
Western University,HEALTSC 1002B,Social Determinants of Health,LSM2991
Western University,KINESIOL 2000B,PHYSICAL ACTIVITY & HEALTH,LSM3991
Western University,CHEM 3393B,MEDICINAL CHEMISTRY,PHS4991
Yonsei University,LST 3206,DEVELOPMENTAL BIOLOGY,LSM3233
Cornell University,NS 4410,Nutrition and Disease,FST3202
Yonsei University,LST 4003,CANCER DEVELOPMENT,LSM3991
Yonsei University,MAT 3104-01,Analysis (1),MA2108
Yonsei University,MAT 3110,Modern Algebra (II),MA3201
Yonsei University,MAT 3112,Complex Analysis,MA3211S
Yonsei University,MAT 3117,Mathematical logic,MA4207
Yonsei University,STA 3109-01,Mathematical Statistics II,ST2132
Yonsei University,STA 3125,Regression Analysis,ST3131
Yonsei University,ISA 6185-01,STATISTICS AND DATA ANALYSIS,ST3131
Yonsei University,STA 3105-01,BAYESIAN STATISTICS,ST4234
Yonsei University,STA 3108,Survival Data Analysis,ST4252
Cornell University,FSDC 4400,Wine and Grape Flavor Chemistry,FST3991
York University,SC/MATH 4171,Nonlinear Optimization,DSA3102
York University,SC/MATH 3330,Regression Analysis,ST3131
Cornell University,FDSC 4010,Concepts of food product development,FST4104
Cornell University,FDSC 4260,We Are What We Eat: Linking Food With Intestinal Functionality and Microbiome,FST4201
Cornell University,NS 3150,Obesity and the Regulation of Body Weight,FST4991
Amsterdam University College,SCIY 900228,Numerical Mathematics,MA3227
Cornell University,BIOMI 4090,Principles of Virology,LSM3227
Cornell University,BIOMG 4610,Development and Evolution,LSM3233
Cornell University,BIOMG 3850,Developmental Biology,LSM3233
Cornell University,BIOMG 5350,Introductory Biology: Cell and Developmental Biology,LSM3233
Cornell University,BIOEE 1780,An Introduction to Evolutionary Biology and Diversity,LSM3252
Cornell University,PLSCI 2013,"Mushrooms, Molds and More",LSM3259
Cornell University,NTRES 2010,Environmental Conservation,LSM3272
Cornell University,BIOMS 3310,General Parasitology,LSM3991
Cornell University,BIOMS 4310,Medical Parasitology,LSM3991
Cornell University,BIOMI 4310,Medical Parasitology,LSM3991
Amsterdam University College,6012 B0451Y,Statistics 2 for Economics,ST3131
Cornell University,PLHRT 4551,Principles of Nutrition and Nutrient Management in Crops and Landscape Plants,LSM3991
Cornell University,BIOMG 6400,Laboratory in Biochemistry and Molecular Biology,LSM4991
Cornell University,BIOMG 6310,Protein Structure and Function,LSM4991
Cornell University,MATH 4530,Introduction to Topology,MA3209
Cornell University,MATH 3230,Introduction to Differential Equations,MA3220
Cornell University,MATH 3270,Introduction to Ordinary Differential Equations,MA3220
Cornell University,MATH 3610,Mathematical Modeling,MA3264
Cornell University,MATH 3320,Introduction to Number Theory,MA3265
Cornell University,MATH 4200,Differential Equations and Dynamical Systems,MA3991
Cornell University,MATH 4810,Mathematical Logic,MA4207
Amsterdam University College,SCIY 900393,Modelling Real World Problems,ST3247
Cornell University,PHYS 4443,Intermediate Quantum Mechanics,PC3130
Cornell University,AEP 3620,Intermediate Quantum Mechanics,PC3130
Cornell University,AEP 3560,Intermediate Electrodynamics,PC3231
Cornell University,AEP 3550,Intermediate Electromagnetism,PC3231
Cornell University,ASTRO 4431,"Physics of Stars, Neutron Stars and Black Holes",PC3246
Cornell University,AEP 3330,Mechanics of Particles and Solid Bodies,PC3261
Cornell University,AEP 4200,Intermediate Mathematical Physics,PC3274A
Dalhousie University,BIOL 2040,Evolution,LSM3252
Dalhousie University,BIOL 4065,Sustainability and Complexity,LSM3272
Dalhousie University,MARI 3761,Marine Ecology,LSM3991
Amsterdam University College,ACCY 900323,Advanced Research Methods and Statistics,ST3248
Delft University of Technology,CS 4360,Natural Language Processing,DSA4213
Delft University of Technology,AM 2570,Markov Processes,MA3238
Delft University of Technology,AM 3550,Graph Theory,MA3991
Delft University of Technology,NB 1143,Physics 1B,PC1201
Delft University of Technology,AM 2550,Advanced Satistics,ST3131
Delft University of Technology,WI 4614,Stochastic Simulation,ST3247
Delft University of Technology,WI 4630,Statistical Learning,ST3248
Delft University of Technology,EE2 ML1,Introduction to Machine Learning,ST4234
Delft University of Technology,EE 4685,"Machine Learning, A Bayesian Perspective",ST4234
Delft University of Technology,WI 4230,Time Series & Extreme Value Theory,ST4253
Amsterdam University College,SCIY 900181,Introduction to Environmental Science,SX2882
Delft University of Technology,CS 4035,Cyber Data Analytics,ST4991
Delft University of Technology,TB 341TC,Quantitative Models for Transport,ST4991
Ecole Poly Federale Lausanne,BIO 483,Neuroscience: behavior and cognition,LSM3991
Ecole Poly Federale Lausanne,BIO 315,Structural Biology,LSM4231
Ecole Poly Federale Lausanne,MATH 261,Discrete optimization,MA3252
Ecole Poly Federale Lausanne,MATH 562,Statistical Inference,ST2132
Ecole Poly Federale Lausanne,MATH 442,Statistical theory,ST2132
Ecole Poly Federale Lausanne,MATH 341,Linear Models,ST3131
Eindhoven Uni of Technology,2WF30,Linear algebra 2,MA2101
Eindhoven Uni of Technology,2DF 40,Financial mathematics,QF1100
Amsterdam University College,SCIY 900296,Machine Learning,SX2996
Eindhoven Uni of Technology,2DM N00,Design and Analysis of Experiments,ST3232
Eindhoven Uni of Technology,2WB 20,Stochastic processes,ST3236
Eindhoven Uni of Technology,2WB 50,Stochastic Simulation,ST3247
Eindhoven Uni of Technology,2DI 70,Statistical learning theory,ST3248
Eindhoven Uni of Technology,2DD 23,Time series analysis and forecasting,ST4253
Eindhoven Uni of Technology,1BM 110,Data-driven artificial intelligence,SX2995
Eindhoven Uni of Technology,2AMU 20,Generative AI Models,SX2995
Eindhoven Uni of Technology,2IMN 30,Machine Learning for Industry,SX2998
Eindhoven Uni of Technology,SFC 500,Dutch for Beginners I,SX3981
Eindhoven Uni of Technology,2AMD 20,Knowledge Engineering,SX3992
Bilkent University,MATH 224,Linear Algebra II,MA2101
Emory University,MATH 315,Numerical Analysis,MA2213
Emory University,MATH 535,Combinatorics I,MA2214
Emory University,MATH 531,Graph Theory I,MA2214
Emory University,MATH 212,Differential Equations,MA3220
Emory University,QTM 385,Special Topics: QTM: Quantitative Finance,QF2104
Emory University,ECON 215,"Stocks, Bonds & Financial Markets",QF3101
Emory University,QTM 210,Probability and Statistics,ST2132
Emory University,QTM 220,Regression Analysis,ST3131
Emory University,QTM 347,Statistical Machine Learning I,ST3248
Emory University,QTM 345,Causal designs and Inference 1,ST3991
Bilkent University,MATH 215,Mathematical Analysis,MA2108
ETH Zurich,227 0690-11L,Large-Scale Convex Optimization,DSA4212
ETH Zurich,261 5110-00L,Optimization for Data Science,DSA4212
ETH Zurich,BIOLOGY 227094600L,Molecular Imaging - Basic Principles and Biomedical Applications,LSM3234
ETH Zurich,MATH 401260400L,Probability and Statistics,MA2116
ETH Zurich,227 0418-00L,Algebra and Error Correcting Codes,MA2202S
ETH Zurich,MATH 401255400L,Topology,MA3209
ETH Zurich,401 0647-00L,Introduction to Mathematical Optimization,MA3252
ETH Zurich,900 0010-00L,10 Credit Project,MA3288
ETH Zurich,900 0005-00L,5 Credit Project,MA3288
ETH Zurich,401 3052-05L,Introduction to Graph Theory,MA4235
Bilkent University,ECON 222,Introduction to Probability and Statistics II,ST2132
ETH Zurich,401 3902-21L,Network & Integer Optimization: From Theory to Application,MA4254
ETH Zurich,227 0432-00L,"Learning, Classification and Compression",MA4270
ETH Zurich,263 4400-00S,Advanced Graph Algorithms and Optimization,MA4991
ETH Zurich,PHYSICS 402221410L,Theory of Heat,PC2135
ETH Zurich,PHYSICS 402026600L,Introduction to Nuclear and Particle Physics,PC3232
ETH Zurich,PHYSICS 4020218BSL,Research Project,PC3991
ETH Zurich,MATH 401-3913-0,Mathematical Foundations for Finance,QF4103
ETH Zurich,401 0649-00L,Applied Statistical Regression,ST3131
ETH Zurich,263 4508-00L,Algorithmic Foundations of Data Science,ST3131
ETH Zurich,401 0625-01L,Applied Analysis of Variance and Experimental Design,ST3232
Bilkent University,CTIS 186,Business Computer Applications,SX2882
ETH Zurich,401 3620-22L,Student Seminar in Statistics: Causality,ST3991
ETH Zurich,401 3628-14L,Bayesian Statistics,ST4234
Fudan University,MATH 130137,Linear & Non-Linear Programming,DSA3102
Fudan University,DATA 130046,Basics of Statistics II: Regression Analysis,ST3131
Fudan University,MANA 130021,Regression Analysis,ST3131
Georg-August-Uni of Gottingen,B.PHY. 5635,Introduction to Chaotic Behavior I: Dissipative Systems,PC2991
Georg-August-Uni of Gottingen,B.PHY 5535,"Fluid Dynamics, Nonlinear Dynamics and Turbulence",PC3238
Georg-August-Uni of Gottingen,B.PHY. 5506,Introduction to Fluid Mechanics,PC3238
Georg-August-Uni of Gottingen,B.PHY 5675,"Machine Learning, hands-on",PC3270
Georg-August-Uni of Gottingen,B.PHY 5646,Climate Physics,PC3991
Bilkent University,MAN 102,Introduction to Business II,SX2882
Georg-August-Uni of Gottingen,B.PHY. 5811,Statistical Methods in Data Analysis,PC3991
Georg-August-Uni of Gottingen,B.PHY. 1541,Introduction to Geophysics,PC3992
Georg-August-Uni of Gottingen,B.PHY. 5544,Introduction to Turbulence,PC3992
Georg-August-Uni of Gottingen,B.PHY. 5513,Numerical Fluid Dynamics,PC3992
Georg-August-Uni of Gottingen,B.PHY. 5602.KI,Theoretical and Computational Neuroscience II,PC3992
Georg-August-Uni of Gottingen,B.PHY. 5530,Introduction to Cosmology,PC4232
Georg-August-Uni of Gottingen,B.PHY 5540,Introduction to Cosmology,PC4232
Georg-August-Uni of Gottingen,B.PHY 1522,Solid State Physics II,PC4240
Georg-August-Uni of Gottingen,B.PHY 1512,Particle Physics II - of and with quarks,PC4245
Georg-August-Uni of Gottingen,B.PHY 571.MP,Quantum Physics of Light & Matter and its Applications,PC4246
Bilkent University,CS 123,Introduction to Computing and Programming,SX2882
Georg-August-Uni of Gottingen,B.MAT 3115,Introduction to mathematical methods in physics,PC4274A
Georg-August-Uni of Gottingen,B.PHY. 5901,Advanced Computer Simulation,PC4991
Georg-August-Uni of Gottingen,B.PHY 5635,Chaotic Behaviour I: Dissipative Systems,PC4991
Georg-August-Uni of Gottingen,B.PHY 5403,"Fluctuation theorems, stochastic thermodynamics and molecular machines",PC4991
Georg-August-Uni of Gottingen,B.PHY 5721,Information and Physics,PC4991
Georg-August-Uni of Gottingen,B.PHY. 5636,Introduction to Chaotic Behavior II: Hamiltionian Systems,PC4991
Georg-August-Uni of Gottingen,B.PHY 5810,Physics of the Higgs boson,PC4991
Georg-August-Uni of Gottingen,B.PHY 5406,Physics with fluctuating paths: stochastic and trajectory thermodynamics,PC4991
Georg-August-Uni of Gottingen,B.PHY 5725,Renormalization group theory and applications,PC4991
Georg-August-Uni of Gottingen,B.PHY 5663,Stochastic Dynamics,PC4991
Bilkent University,CS 153,Introduction to Computer Graphics,SX2883
Georg-August-Uni of Gottingen,B.PHY 5633,Stochastic Dynamics,PC4991
Georg-August-Uni of Gottingen,B.PHY 5544,Introduction to Turbulence,PC4998
Georg-August-Uni of Gottingen,B.PHY 5805,Quantum Field Theory I,PC4998
Georgetown University,MATH 2233,Multivariable Calculus,MA2104
Georgetown University,MATH 137,Multivariable calculus,MA2104
Georgetown University,MATH 2370,Multivariable Calculus,MA2104
Georgetown University,STAT 2118,Regression Analysis,ST3131
Georgetown University,MATH 240,Regression Analysis,ST3131
Georgetown University,MATH 2540,Regression Analysis,ST3131
Georgia Inst of Technology,MATH 4640,Numerical Analysis I,DSA2102
Bilkent University,CTIS 359,Principles of Software Engineering,SX2883
Georgia Inst of Technology,MATH 2603,Introduction to Discrete Mathematics,MA1100
Georgia Inst of Technology,MATH 3406,A Second Course on Linear Algebra,MA2101
Georgia Inst of Technology,MATH 4317,Analysis I,MA2108
Georgia Inst of Technology,MATH 3012,Applied Combinatorics,MA2214
Georgia Inst of Technology,PHYS 3123,Electrodynamics,PC3231
Georgia Inst of Technology,PHYS 4261,Atomic Physics,PC3233
Georgia Inst of Technology,PHYS 3266,Computational Physics,PC3236
Georgia Inst of Technology,PHYS 4421,Introduction to Continuum Physics,PC3238
Georgia Inst of Technology,PHYS 4823,Special Topics: Quantum Technologies,PC4228
Georgia Inst of Technology,PHYS 6106,Quantum Mechanics II,PC4230
Boston College,BIOL 4320,Developmental Biology,LSM3233
Aarhus University,BIOLOGY 515171U019,Plant Ecophysiology,LSM2254
Georgia Inst of Technology,PHYS 4142,Statistical Mechanics,PC4241
Georgia Inst of Technology,MATH 6769,Fixed Income Securities,QF3101
Georgia Inst of Technology,MATH 6635,Numerical Methods in Finance,QF3103
Georgia Inst of Technology,MATH 3215,Introduction to Probability and Statistics,ST2131
Georgia Inst of Technology,MATH 3235,Probability Theory,ST2131
Georgia Inst of Technology,ISYE 6414,Regression Analysis,ST3131
Hanyang University,GEN 2052,Calculus 1,MA2002
Hanyang University,GEN 2053,Calculus II,MA2104
Hanyang University,PER 2035,Korean Cinema and Modernisation,SX1991
Hanyang University,BUS4019 18058,Strategic Management,SX2996
Boston College,BIOL 4030,Deep Sea Biology,LSM3991
Heidelberg University,LSF# 88915,Molecular Biology and Biotechnology of Plants,LSM2254
Heidelberg University,M.MTL. 1021,Synthetic Cells & Virology,LSM4991
Heidelberg University,MA 7,Introduction to Numerics,MA2213
Heidelberg University,MA 2,Analysis II,MA3210
Heidelberg University,MB 3,Function Theory,MA3211
Heidelberg University,MA 11BMAV04,Nonlinear Optimization,MA3236
Heidelberg University,MC 2,Partial Differential Equation,MA4221
Heidelberg University,MA 11BMAV024,differential geometry 1,MA4271
Hong Kong Uni of Sci & Tech,ELEC 5470,Convex Optimization,DSA3102
Hong Kong Uni of Sci & Tech,MATH 4335,Introduction to Optimization,DSA3102
Boston College,BIOL 4110,Ornithology,LSM3991
Hong Kong Uni of Sci & Tech,OCES 3160,Ecology,LSM2251
Hong Kong Uni of Sci & Tech,LIFS 2060,Biodiversity,LSM2252
Hong Kong Uni of Sci & Tech,LIFS 2080,Plant Biology,LSM2254
Hong Kong Uni of Sci & Tech,LIFS 4090,Developmental Biology,LSM3233
Hong Kong Uni of Sci & Tech,LIFS 4320,Data Science for Biology and Medicine,LSM3241
Hong Kong Uni of Sci & Tech,OCES 4201,Environmental Microbiology,LSM3991
